"ID";"sec";"frame";"pos_y";"pos_x";"dY";"absdY";"cat";"gp";"ret";"ct";"pck";"expe";"iti";"plong"
"131";1;143;1430;24.099798690783;53.2633762844218;-0.760106299923082;10.3001064187567;1;"Sti";1;4;1;1;"2 min";54
"132";1;144;1439.88888888889;14.6277869041609;80.6050218085455;1.41502326305239;12.6391170261332;1;"Sti";1;4;1;1;"2 min";54
"133";1;145;1450;9.1806572769953;42.5128672032193;-0.0482330504330389;0.430822011813097;1;"Sti";1;4;1;1;"2 min";54
"134";1;146;1459.5;12.7310949145252;34.4054494388886;-0.14173343444171;3.17586962158235;1;"Sti";1;4;1;1;"2 min";54
"135";1;147;1470;16.3514801443825;45.7798793440252;-2.22901283340222;19.9097462138899;1;"Sti";1;4;1;1;"2 min";54
"136";1;148;1480;64.2567667073549;72.9746370850183;-7.49431808081345;66.9399335881874;1;"Sti";1;4;1;1;"2 min";54
"137";1;149;1490;127.309903359983;48.3180598311915;-5.83106399632767;52.0835961929544;1;"Sti";1;4;1;1;"2 min";54
"138";1;150;1500;167.840635393444;40.1835132541582;-2.47156172847692;22.0762150977975;1;"Sti";1;4;1;1;"2 min";54
"431";1;443;4430;399.547678469881;45.8142815647327;0.883254568034854;7.88931047336848;2;"Sti";1;4;1;1;"2 min";54
"432";1;444;4440;389.771302992741;70.6518282757681;0.24784922733676;8.64792376758186;2;"Sti";1;4;1;1;"2 min";54
"433";1;445;4450;394.193713769466;76.2786946454736;-0.0964597505224774;1.82656739433878;2;"Sti";1;4;1;1;"2 min";54
"434";1;446;4460;389.46150728806;85.9532201278326;2.42330054835302;21.6451418290164;2;"Sti";1;4;1;1;"2 min";54
"435";1;447;4470;351.814083520904;75.0784979731411;4.05367824649705;36.2078243386941;2;"Sti";1;4;1;1;"2 min";54
"436";1;448;4480;333.405996970919;47.798002908452;-1.93683906834297;26.7733721927827;2;"Sti";1;4;1;1;"2 min";54
"437";1;449;4490;375.298656952356;41.6718408363267;-4.53139502687236;40.4748342530658;2;"Sti";1;4;1;1;"2 min";54
"438";1;450;4500;399.685292035859;44.7407800354232;-0.631011329134794;7.42650060804584;2;"Sti";1;4;1;1;"2 min";54
"730";1;743;7430;32.4724348176215;91.5761746584157;-0.101798809053079;2.30500807913497;3;"Sti";1;4;1;1;"2 min";54
"731";1;744;7440.2;48.3368487116571;90.722528757515;-4.05918227377223;36.256986813024;3;"Sti";1;4;1;1;"2 min";54
